"zip","TotalPop","MedianHHInc","PerCapitaHHInc","MaleOver65","FemaleOver65","PercentOver65","Rural","Urban","PercentWhite","PercentBlack","PercentHispanic","amount","AmountRep","AmountDem","AmountRCand","AmountDCand","AmountRComm","AmountDComm","rep","dem","meanrep","meandem","X_merge1","StCtyFIPS","StDMACode","X_merge2","DMACode","State","StFIPS","DMAName","Keep_L10","Keep_15S","Keep_25S","X_merge3","Market","TotDem","TotRep","TotAds","Negative","Positive","Personal","Policy","MeanDem","MeanRep","X_merge4","Bush_00_sum","Total_00_sum","Bush04_sum","Total04_sum","repvote00","repvote04","diff","PollsterEverComp","PollsterSeptComp","PollsterComp","SeptNotComp","NonComp","Pop","Cont","RCont","DCont","Inc","Ads","AdsSqrd","RAds","DAds","RDAds","RAdsSqrd","DAdsSqrd","RepubVote","TotVote","RepubShare","RepubTown","DemTown","CDF","CDF2","density","Zip_Number","Pop_Tot","per_hsgrads","per_collegegrads","geoid","geoid2","geodisplaylabel","perinstate","peroutofstate","MergeCommuting","Treatment1","StFIPS1","StFIPS2","StFIPS3","StFIPS4","StFIPS5","StFIPS6","StFIPS7","StFIPS8","StFIPS9","StFIPS10","StFIPS11","StFIPS12","StFIPS13","StFIPS14","StFIPS15","StFIPS16","StFIPS17","StFIPS18","StFIPS19","StFIPS20","StFIPS21","StFIPS22","StFIPS23","StFIPS24","StFIPS25","StFIPS26","StFIPS27","StFIPS28","StFIPS29","StFIPS30","StFIPS31","StFIPS32","StFIPS33","StFIPS34","StFIPS35","StFIPS36","StFIPS37","StFIPS38","StFIPS39","StFIPS40","StFIPS41","StFIPS42","StFIPS43","StFIPS44","StFIPS45","StFIPS46","StFIPS47","StFIPS48","StFIPS49","StFIPS50","StFIPS51","StFIPS52","StFIPS53","StFIPS54","StFIPS55","StFIPS56","state","Overlap","PerCapitaGiving","PerCapitaGivingThous","PercentVoted","lnperout","CanCommute","logDollars","PropScore1","MeanTreatment"
"36258",1384,34063,16925,107,157,0.19075145,1,0,0.96387285,0.009393063,0.0050578034,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01027",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,1.384,0,0,0,34.063,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.33129436,0.4081973,13.007167424796,"36258",966,71.7391304347826,8.69565217391304,"8600000US36258",36258,"ZCTA5 36258",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.55765676,0,0,-6.9077554,0.5515376,0.16693419
"35049",3220,41399,17589,218,231,0.139441,1,0,0.94751555,0.0031055901,0.0810559,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01009",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,3.22,0,0,0,41.399,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.02525269,0.6545092,84.4130069217249,"35049",2145,70.3030303030303,8.01864801864802,"8600000US35049",35049,"ZCTA5 35049",96.6,3.4,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.23968852,1.4816046,1,-6.9077554,0.5802471,0.16693419
"35097",1916,38350,16455,67,132,0.10386221,1,0,0.98590815,0,0.0005219207,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01009",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,1.916,0,0,0,38.35,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.3179811,0.56520885,184.371273321591,"35097",1207,74.7307373653687,5.46810273405137,"8600000US35097",35097,"ZCTA5 35097",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.4028168,0,0,-6.9077554,0.5523433,0.16693419
"36854",14281,32653,15929,812,1391,0.1542609,0,1,0.7799874,0.21406063,0.0067222184,11200,11200,0,11200,0,0,0,3,3,1,0,"matched (3)","01017",1522,"matched (3)",522,"Alabama             ",1,"Columbus, GA           ",1,1,1,"matched (3)","Columbus, GA   ",998,1,999,0.369369369369369,0.630630630630631,0.44994994994995,0.55005005005005,0.998998998998999,0.001001001001001,"matched (3)",39707,75095,49830,85228,52.8756907916639,58.4667010841507,5.59101029248686,0,0,0,1,1,14.281,11.2,11.2,0,32.653,0.999,0.99800104,0.001,0.998,0.000998,1.0000001e-06,0.99600405,49830,85228,0.584667,1,0,0.8053384,0.358477,239.847477161104,"36854",9574,66.1792354292877,8.54397326091498,"8600000US36854",36854,"ZCTA5 36854",72.5,27.5,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,784.2588,0.7842588,0.0059679295,3.349904,1,2.416003,0.5231687,0.16693419
"35087",2127,30833,14817,125,135,0.12223789,1,0,0.97884345,0,0.036671367,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01043",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,2.127,0,0,0,30.833,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.045533348,0.28216285,86.7981173478395,"35087",1377,68.482207697894,7.26216412490922,"8600000US35087",35087,"ZCTA5 35087",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.36285707,0,0,-6.9077554,0.5557807,0.16693419
"35078",2817,33269,15357,127,208,0.11892084,1,0,0.74156904,0.25452608,0.0014199503,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01117",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,2.817,0,0,0,33.269,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.115894146,0.38117823,53.1346924563585,"35078",1871,69.1608765366114,9.24639230358097,"8600000US35078",35078,"ZCTA5 35078",97.6,2.4,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.27397835,1.2237754,1,-6.9077554,0.51756,0.16693419
"36792",784,32981,14184,62,87,0.19005102,1,0,0.85841835,0.0752551,0.06632653,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01007",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,0.784,0,0,0,32.981,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.14647868,0.3695332,20.6519111921501,"36792",575,60.5217391304348,4.69565217391304,"8600000US36792",36792,"ZCTA5 36792",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.98443496,0,0,-6.9077554,0.5524554,0.16693419
"35139",85,12292,8869,0,12,0.14117648,1,0,0.91764706,0,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01073",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,0.085,0,0,0,12.292,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.13136633,0.008308528,96.5524950749596,"35139",55,27.2727272727273,0,"8600000US35139",35139,"ZCTA5 35139",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,9.079965,0,0,-6.9077554,0.51440334,0.16693419
"36522",6748,33308,14451,317,380,0.103289865,1,0,0.8037937,0.15975104,0.011114405,850,850,0,400,0,450,0,4,4,1,0,"matched (3)","01097",1686,"matched (3)",686,"Alabama             ",1,"Mobile                 ",1,1,1,"matched (3)","Mobile         ",2930,894,3824,0.682531380753138,0.317468619246862,0.438546025104602,0.561453974895398,0.766213389121339,0.233786610878661,"matched (3)",143949,240572,174390,273682,59.8361405317327,63.7199377379587,3.88379720622594,0,0,0,1,1,6.748,0.85,0.85,0,33.308,3.824,14.622975,0.894,2.93,2.61942,0.799236,8.584901,174390,273682,0.6371994,1,0,0.51431096,0.38209414,35.1569270155293,"36522",4063,70.489785872508,8.58971203544179,"8600000US36522",36522,"ZCTA5 36522",92.8,7.2,"matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,125.96325,0.12596326,0.0405575,2.104134,1,-0.16134313,0.53204596,0.16693419
"35565",14479,27081,15877,814,1228,0.14103185,1,0,0.96767735,0.0053871125,0.022722565,1000,1000,0,0,0,1000,0,2,2,1,0,"matched (3)","01059",1691,"matched (3)",691,"Alabama             ",1,"Huntsville             ",1,1,1,"matched (3)","Huntsville     ",1,3,4,1,0,0.875,0.125,0.25,0.75,"matched (3)",180245,322654,231342,370435,55.8632466977009,62.451442223332,6.58819552563109,0,0,0,1,1,14.479,1,1,0,27.081,0.004,1.6000002e-05,0.003,0.001,3e-06,9e-06,1.0000001e-06,231342,370435,0.6245144,1,0,0.53590006,0.15557228,58.3349122011992,"35565",9843,64.3706187138068,8.23935791933354,"8600000US35565",35565,"ZCTA5 35565",98.3,1.7,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,69.065544,0.06906554,0.025584295,0.9932518,0,0.0009995003,0.548316,0.16693419
