exper,treat,age,educ,black,hisp,married,nodegr,re74,re75,re78,re74.miss
0,0,47,12,0,0,0,0,0.0,0.0,0.0,0
0,0,50,12,1,0,1,0,0.0,0.0,0.0,1
0,0,44,12,0,0,0,0,0.0,0.0,0.0,0
0,0,28,12,1,0,1,0,0.0,0.0,0.0,1
0,0,54,12,0,0,1,0,0.0,0.0,0.0,1
0,0,55,12,0,1,1,0,0.0,0.0,0.0,1
0,0,47,12,0,0,1,0,0.0,0.0,0.0,0
0,0,25,12,1,0,0,0,0.0,0.0,0.0,0
0,0,44,12,0,0,1,0,0.0,0.0,0.0,0
0,0,50,12,1,0,1,0,0.0,0.0,0.0,0
0,0,23,12,1,0,0,0,0.0,0.0,4730.0,1
0,0,49,14,0,0,1,0,0.0,0.0,0.0,0
0,0,55,14,0,0,1,0,0.0,0.0,0.0,1
0,0,34,14,1,0,1,0,0.0,0.0,0.0,1
0,0,34,16,0,0,1,0,0.0,0.0,11800.0,1
0,0,55,13,0,1,1,0,0.0,0.0,0.0,0
0,0,52,12,0,0,1,0,0.0,0.0,0.0,0
0,0,52,15,0,0,1,0,0.0,0.0,0.0,0
0,0,30,16,0,0,1,0,0.0,0.0,0.0,1
0,0,21,12,0,0,0,0,0.0,0.0,0.0,1
0,0,30,17,0,0,0,0,0.0,0.0,0.0,1
0,0,44,12,0,0,1,0,0.0,0.0,0.0,0
0,0,46,12,0,0,0,0,0.0,0.0,0.0,1
0,0,53,17,0,0,1,0,0.0,0.0,0.0,1
0,0,26,16,0,0,0,0,0.0,0.0,9010.0,1
0,0,49,12,0,0,1,0,0.0,0.0,13300.0,0
0,0,39,15,0,0,1,0,0.0,0.0,1920.0,1
0,0,26,17,0,0,1,0,0.0,0.0,11800.0,0
0,0,32,16,0,0,1,0,0.0,0.0,0.0,0
0,0,34,12,0,0,1,0,0.0,0.0,0.0,1
0,0,31,14,0,0,1,0,0.0,0.0,0.0,0
0,0,39,17,0,1,1,0,0.0,0.0,8870.0,1
0,0,40,17,0,0,1,0,0.0,0.0,0.0,0
0,0,31,12,0,0,1,0,0.0,0.0,0.0,1
0,0,27,13,0,0,1,0,0.0,0.0,28100.0,1
0,0,48,12,0,0,1,0,0.0,0.0,0.0,1
0,0,41,13,0,0,1,0,0.0,0.0,0.0,0
0,0,26,14,0,0,0,0,0.0,0.0,0.0,0
0,0,50,17,0,0,0,0,0.0,0.0,0.0,0
0,0,48,12,0,0,1,0,0.0,0.0,12900.0,0
0,0,45,16,0,0,1,0,0.0,0.0,0.0,1
0,0,37,13,0,0,1,0,0.0,0.0,0.0,0
0,0,33,12,0,0,1,0,0.0,0.0,0.0,0
0,0,31,12,0,0,1,0,0.0,0.0,0.0,0
0,0,36,12,1,0,1,0,0.0,0.0,17700.0,0
0,0,44,13,0,0,1,0,0.0,0.0,0.0,0
0,0,28,17,0,0,1,0,0.0,0.0,0.0,1
0,0,30,17,0,0,1,0,0.0,0.0,0.0,0
0,0,42,16,0,0,1,0,0.0,0.0,0.0,0
0,0,30,12,0,0,1,0,0.0,0.0,0.0,0
0,0,27,16,0,0,1,0,0.0,0.0,0.0,0
0,0,37,12,0,0,1,0,0.0,0.0,0.0,1
0,0,37,12,0,0,1,0,0.0,0.0,0.0,0
0,0,45,12,0,0,1,0,0.0,0.0,22200.0,0
0,0,35,16,0,0,1,0,0.0,0.0,0.0,0
0,0,37,17,0,0,1,0,0.0,0.0,66500.0,0
0,0,27,17,0,0,1,0,0.0,0.0,0.0,0
0,0,47,14,0,0,1,0,0.0,0.0,0.0,1
0,0,48,12,0,0,1,0,0.0,0.0,0.0,0
0,0,42,12,0,0,1,0,0.0,0.0,0.0,1
0,0,43,12,0,0,1,0,0.0,0.0,0.0,0
0,0,46,12,0,0,1,0,0.0,0.0,0.0,1
0,0,46,12,0,0,1,0,0.0,0.0,0.0,0
0,0,46,12,0,0,1,0,0.0,0.0,0.0,1
0,0,29,16,0,0,1,0,0.0,0.0,8400.0,0
0,0,39,13,0,0,1,0,0.0,0.0,0.0,1
0,0,32,12,0,0,1,0,0.0,0.0,0.0,0
0,0,48,16,0,0,1,0,0.0,0.0,0.0,1
0,0,48,16,0,0,1,0,0.0,0.0,0.0,1
0,0,41,13,0,0,1,0,0.0,0.0,0.0,0
0,0,42,13,0,0,1,0,0.0,0.0,0.0,1
0,0,42,13,0,0,1,0,0.0,0.0,0.0,1
0,0,42,13,0,0,1,0,0.0,0.0,0.0,0
0,0,54,13,0,0,1,0,0.0,0.0,0.0,1
0,0,29,14,0,0,1,0,0.0,0.0,0.0,0
0,0,54,12,0,0,1,0,0.0,0.0,0.0,1
0,0,54,12,0,0,1,0,0.0,0.0,0.0,0
0,0,26,14,0,0,1,0,0.0,0.0,0.0,0
0,0,43,17,0,0,1,0,0.0,0.0,36900.0,0
0,0,54,12,0,0,1,0,0.0,0.0,0.0,1
0,0,37,12,0,0,1,0,0.0,0.0,0.0,0
0,0,54,16,0,0,1,0,0.0,0.0,0.0,0
0,0,48,17,0,0,1,0,0.0,0.0,0.0,1
0,0,44,12,0,0,1,0,0.0,0.0,0.0,0
0,0,54,12,0,0,1,0,0.0,0.0,0.0,0
0,0,38,12,0,0,1,0,0.0,0.0,0.0,0
0,0,37,13,0,0,1,0,0.0,0.0,0.0,0
0,0,27,17,0,0,1,0,0.0,0.0,0.0,1
0,0,51,12,0,0,1,0,0.0,0.0,0.0,1
0,0,39,12,0,0,1,0,0.0,0.0,0.0,0
0,0,55,14,0,0,1,0,0.0,0.0,0.0,0
0,0,54,13,0,0,1,0,0.0,0.0,0.0,0
0,0,54,13,0,0,1,0,0.0,0.0,0.0,1
0,0,34,12,0,0,1,0,0.0,0.0,0.0,1
0,0,50,14,0,0,1,0,0.0,0.0,0.0,0
0,0,50,12,0,0,1,0,0.0,0.0,0.0,1
0,0,21,14,0,1,0,0,0.0,71.6,3660.0,0
0,0,26,12,0,0,1,0,0.0,71.6,0.0,1
0,0,21,13,0,0,0,0,0.0,693.0,2660.0,1
0,0,23,16,0,0,1,0,0.0,1520.0,0.0,0
0,0,21,15,0,0,0,0,0.0,3220.0,14800.0,0
0,0,23,14,0,0,0,0,0.0,3400.0,5320.0,0
0,0,27,16,0,0,1,0,0.0,4830.0,0.0,1
0,0,25,12,0,0,1,0,0.0,5730.0,26600.0,0
0,0,27,17,0,0,0,0,0.0,6090.0,7390.0,1
0,0,55,12,0,0,1,0,0.0,6270.0,10300.0,0
0,0,20,12,0,0,1,0,0.0,7160.0,0.0,1
0,0,18,12,0,0,1,0,0.0,8060.0,19200.0,1
0,0,27,12,0,0,1,0,0.0,8240.0,20700.0,0
0,0,28,16,0,0,1,0,0.0,8950.0,36900.0,0
0,0,36,12,1,0,1,0,0.0,8950.0,11800.0,1
0,0,33,13,1,0,1,0,0.0,10700.0,20700.0,0
0,0,36,12,0,0,1,0,0.0,10700.0,0.0,0
0,0,27,13,0,0,1,0,0.0,16100.0,29600.0,1
0,0,45,17,0,0,1,0,0.0,16100.0,17700.0,0
0,0,45,17,0,0,1,0,0.0,16100.0,17700.0,0
0,0,45,17,0,0,1,0,0.0,16100.0,17700.0,0
0,0,31,12,0,0,1,0,0.0,17900.0,0.0,0
0,0,34,12,0,0,1,0,0.0,17900.0,63500.0,0
0,0,34,12,0,0,1,0,0.0,17900.0,63500.0,1
0,0,47,14,0,0,1,0,0.0,17900.0,22200.0,0
