data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
PSID3,0,46,6,1,0,1,1,0,0,0
PSID3,0,45,7,1,0,1,1,0,0,11821.8134765625
PSID3,0,45,9,1,0,1,1,0,0,0
PSID3,0,49,14,0,0,1,0,0,0,0
PSID3,0,53,6,0,0,1,1,0,0,0
PSID3,0,47,12,0,0,0,0,0,0,0
PSID3,0,47,8,0,0,0,1,0,0,0
PSID3,0,52,8,0,0,1,1,0,0,0
PSID3,0,40,10,0,1,1,1,0,0,0
PSID3,0,55,14,0,0,1,0,0,0,0
PSID3,0,54,3,1,0,0,1,0,0,221.6589965820312
PSID3,0,50,12,1,0,1,0,0,0,0
PSID3,0,52,12,0,0,1,0,0,0,0
PSID3,0,25,11,1,0,0,1,0,0,3694.31640625
PSID3,0,46,9,0,1,1,1,0,0,0
PSID3,0,48,9,0,0,1,1,0,0,0
PSID3,0,44,12,0,0,0,0,0,0,0
PSID3,0,26,17,0,0,1,0,0,0,11821.8134765625
PSID3,0,51,5,1,0,0,1,0,0,0
PSID3,0,34,16,0,0,1,0,0,0,11821.8134765625
PSID3,0,41,6,1,0,1,1,0,0,0
PSID3,0,55,8,1,0,1,1,0,0,0
PSID3,0,46,9,0,1,1,1,0,0,0
PSID3,0,55,8,0,0,1,1,0,0,0
PSID3,0,34,14,1,0,1,0,0,0,0
PSID3,0,28,12,1,0,1,0,0,0,0
PSID3,0,54,12,0,0,1,0,0,0,0
PSID3,0,53,7,0,1,0,1,0,0,0
PSID3,0,54,10,1,0,1,1,0,0,0
PSID3,0,55,12,0,1,1,0,0,0,0
PSID3,0,53,8,1,0,1,1,0,0,0
PSID3,0,47,12,0,0,1,0,0,0,0
PSID3,0,55,13,0,1,1,0,0,0,0
PSID3,0,41,8,0,0,1,1,0,0,0
PSID3,0,45,9,1,0,1,1,0,0,0
PSID3,0,54,3,1,0,1,1,0,0,0
PSID3,0,54,9,0,0,1,1,0,0,0
PSID3,0,54,10,1,0,1,1,0,0,0
PSID3,0,53,4,1,0,0,1,0,0,0
PSID3,0,25,12,1,0,0,0,0,0,0
PSID3,0,54,3,1,0,1,1,0,0,0
PSID3,0,54,3,1,0,1,1,0,0,0
PSID3,0,44,12,0,0,1,0,0,0,0
PSID3,0,51,4,1,0,1,1,0,0,0
PSID3,0,45,8,0,0,1,1,0,0,0
PSID3,0,41,11,0,0,1,1,0,0,14481.7197265625
PSID3,0,23,11,1,0,0,1,0,0,0
PSID3,0,50,12,1,0,1,0,0,0,0
PSID3,0,23,11,1,0,0,1,0,0,0
PSID3,0,23,12,1,0,0,0,0,0,4728.72509765625
PSID3,0,21,13,0,0,0,0,0,692.8548583984375,2659.90771484375
PSID3,0,23,14,0,0,0,0,0,3401.61279296875,5319.81591796875
PSID3,0,25,12,1,0,1,0,0,21483.87109375,1220.602172851562
PSID3,0,43,3,1,0,1,1,17.63340187072754,0,0
PSID3,0,52,6,1,0,1,1,235.1120147705078,1246.064453125,1477.7265625
